ID,Problem,Answer,Score
0,1,3,0
1,1,-4,0
2,1,0,0
3,1,4,0
4,1,-3,0
5,1,-4,0
6,1,-1,5
7,1,-3,0
8,1,-3,0
9,1,2,0
10,1,3,0
11,1,-5,0
12,1,0,0
13,1,0,0
14,1,-2,0
15,1,1,0
16,1,0,0
17,1,2,0
18,1,0,0
19,1,4,0
20,1,0,0
21,1,-5,0
22,1,-3,0
23,1,-3,0
24,1,-4,0
25,1,-3,0
26,1,5,0
27,1,3,0
28,1,0,0
29,1,5,0
30,1,4,0
31,1,3,0
32,1,2,0
33,1,-5,0
34,1,3,0
35,1,-1,5
36,1,-1,5
37,1,3,0
38,1,1,0
39,1,1,0
40,1,3,0
41,1,-2,0
42,1,-3,0
43,1,5,0
44,1,-5,0
45,1,5,0
46,1,1,0
47,1,3,0
48,1,-4,0
49,1,-5,0
50,1,-4,0
51,1,1,0
52,1,3,0
53,1,4,0
54,1,3,0
55,1,1,0
56,1,-3,0
57,1,-3,0
58,1,4,0
59,1,4,0
60,1,-1,5
61,1,-3,0
62,1,-2,0
63,1,-2,0
64,1,-3,0
65,1,-1,5
66,1,4,0
67,1,0,0
68,1,4,0
69,1,-3,0
70,1,3,0
71,1,4,0
72,1,-3,0
73,1,-4,0
74,1,0,0
75,1,-5,0
76,1,0,0
77,1,-3,0
78,1,5,0
79,1,-5,0
80,1,4,0
81,1,5,0
82,1,-1,5
83,1,2,0
84,1,3,0
85,1,5,0
86,1,0,0
87,1,-5,0
88,1,2,0
89,1,0,0
90,1,-2,0
91,1,-1,5
92,1,-1,5
93,1,2,0
94,1,0,0
95,1,-4,0
96,1,0,0
97,1,-4,0
98,1,-3,0
99,1,-1,5
100,1,-3,0
101,1,-4,0
102,1,1,0
103,1,-1,5
104,1,-2,0
105,1,-2,0
106,1,-1,5
107,1,-1,5
108,1,-2,0
109,1,-2,0
110,1,4,0
111,1,-3,0
112,1,3,0
113,1,3,0
114,1,3,0
115,1,-5,0
116,1,-3,0
117,1,2,0
118,1,1,0
119,1,-2,0
120,1,-1,5
121,1,4,0
122,1,1,0
123,1,5,0
124,1,-3,0
125,1,-2,0
126,1,5,0
127,1,4,0
128,1,-3,0
129,1,3,0
130,1,1,0
131,1,5,0
132,1,4,0
133,1,1,0
134,1,-3,0
135,1,5,0
136,1,-4,0
137,1,1,0
138,1,-4,0
139,1,-1,5
140,1,5,0
141,1,-4,0
142,1,0,0
143,1,4,0
144,1,0,0
145,1,-5,0
146,1,-2,0
147,1,5,0
148,1,3,0
149,1,-3,0
150,1,-1,5
151,1,3,0
152,1,-3,0
153,1,3,0
154,1,-2,0
155,1,-2,0
156,1,4,0
157,1,1,0
158,1,-5,0
159,1,-5,0
160,1,-4,0
161,1,5,0
162,1,-5,0
163,1,0,0
164,1,-5,0
165,1,-1,5
166,1,-5,0
167,1,0,0
168,1,-2,0
169,1,-5,0
170,1,-1,5
171,1,-2,0
172,1,2,0
173,1,0,0
174,1,2,0
175,1,-4,0
176,1,4,0
177,1,5,0
178,1,5,0
179,1,-1,5
180,1,-3,0
181,1,-4,0
182,1,-5,0
183,1,2,0
184,1,2,0
185,1,-3,0
186,1,5,0
187,1,-1,5
